,DATANAME,TotalReflections,UniqueReflections,DataCount,FriedelOppositesMerged,InconsistentEquivalents,SystematicAbsencesRemoved,MinD,MaxD,LimDmin,LimDmax,FilteredOff,OmittedByUser,OmittedReflections,IntensityTransformed,Rint,Rsigma,MeanIOverSigma,Completeness,MaxIndices,MinIndices,FileMaxIndices,FileMinIndices,ReflectionAPotMax,FriedelPairCount,Redundancy,a,b,c,alpha,beta,gamma,volume,Z,Zprime,mu,F000,tot_reflIns,wavelength,goof,R_all,R1,wR2,last Shift,U_anoms,U001_ueq,U002_ueq,Cs03_ueq,Cs04_ueq,Cs05_ueq,Ti06_ueq,Ti07_ueq,O008_ueq,O009_ueq,O00A_ueq,O00B_ueq,O00C_ueq,O00D_ueq,O00E_ueq,O00F_ueq,O00G_ueq,max_peak,max_hole,res_rms,max_shift_over_esd,hooft_str,R1_all,R1_gt,U001-O00D,U001-O00F,U001-O00E,U001-Ti06,U001-Cs04,U002-O00G,U002-O00C,U002-O00B,U002-O00A,U002-Ti07,U002-Cs03,U002-Cs04,Cs03-O00A,Cs03-O00D,Cs03-O00B,Cs03-O00C,Cs03-O008,Cs03-Cs04,Cs04-O00F,Cs04-O00E,Cs04-O00G,Cs04-O00C,Cs04-O009,Cs04-O00D,Cs04-O00B,Cs04-Cs04,Cs04-Ti07,Cs05-O00A,Cs05-O00D,Cs05-O00B,Cs05-O00F,Cs05-O00G,Cs05-Ti06,Cs05-Ti07,Ti06-O00F,Ti06-O00A,Ti06-O008,Ti06-O009,Ti06-Ti07,Ti06-Ti06,Ti07-O00B,Ti07-O00E,Ti07-O008,Ti07-O009,Ti07-Ti07,Weight,Nr. NPD
0,HL18_rt_21840_autored,98242,12100,12100,1,0,61,0.4348199371040451,8.214851,0.283845,100.0,0,0,0,0,0.06073630324909537,0.03117909310961647,17.606464247705297,0.9694735998718051,"(16, 36, 18)","(-17, 0, 0)","(17, 36, 18)","(-17, -35, -18)",18,19845,"(15193, 9930, 7353, 6064, 3170, 166, 4)",7.51994(10),16.4297(2),7.96935(10),90,102.7396(10),90,960.38(2),4,1,20.345,1208.323,98181.0,0.56769,0.9856,0.0322,0.0254,0.05987320229666218,-0.0005,"((-7.53, 6), (11.72, 4))","(0.01359, 2)","(0.0132, 2)","(0.03379, 6)","(0.03071, 9)","(0.04048, 14)","(0.01046, 4)","(0.01113, 4)","(0.0219, 3)","(0.0206, 3)","(0.0244, 3)","(0.028, 3)","(0.0302, 5)","(0.0359, 4)","(0.0294, 4)","(0.0345, 5)","(0.0306, 5)",2.4388848509518466,-4.660668617439345,0.3721059237461813,-0.00048031799045219315,None,0.032174309881065406,0.025359292412363173,0.002053381229685558,0.0015509874962450019,0.0015091408115511975,0.00023798805325104313,0.0003097997802761358,0.002482854283460737,0.0024632309880229827,0.0015592843297697217,0.0014941465926911126,0.0002732583626366511,0.0002268631334167934,0.0003518760376121312,0.0016593365543581462,0.002087967377477393,0.0017904484870210622,0.002929139914022844,0.0018923308910649204,0.00034526688563327185,0.0025465167070256936,0.0018586636014630295,0.0017959813024108556,0.001927545294916112,0.0018898817016812734,0.002491860267157777,0.0022961678242132836,0.0006965077059429127,0.00040352606452750164,0.001967414889737148,0.002489093503953317,0.0022332613044236675,0.002704513272664787,0.003167010414721368,0.00041451431462209465,0.0005324780678450114,0.0014989802339621793,0.0016181183817339465,0.001443133465056473,0.001234950654390695,0.00036205824167237873,0.00048821138890839654,0.0016931716034424779,0.001505805531619045,0.0012733875154021955,0.0014015574358877717,0.0005066411287260098,True,0
1,HL18_rt_21802_autored,97724,12040,12040,1,0,57,0.4359330502975744,8.223034999999998,0.28463,100.0,0,0,0,0,0.05812584330981957,0.030304104189074806,18.250351959665068,0.9686242960579243,"(16, 36, 18)","(-17, 0, 0)","(17, 36, 18)","(-17, -35, -18)",18,19711,"(15077, 9894, 7274, 6061, 3156, 163, 5)",7.5273(1),16.4461(2),7.97691(10),90,102.7399(10),90,963.19(2),4,1,20.285,1208.323,97667.0,0.56926,0.9987,0.0318,0.0248,0.05552756291682003,-0.0003,"((-8.14, 5), (11.71, 4))","(0.01359, 2)","(0.01315, 2)","(0.03383, 5)","(0.03083, 9)","(0.04066, 14)","(0.01042, 4)","(0.01113, 4)","(0.0213, 3)","(0.0207, 2)","(0.0251, 3)","(0.028, 3)","(0.0303, 5)","(0.0357, 4)","(0.0291, 4)","(0.035, 5)","(0.0302, 5)",3.948958842577868,-4.260226379558208,0.3675237929872562,-0.000304999708077403,None,0.03182446356561116,0.024822359655748083,0.0019742514214612936,0.001490800757434056,0.0014295409109601996,0.00023271478386755945,0.0002995195415108462,0.0023658164395403522,0.0023628450635814497,0.0015046309635790586,0.0014834738760015887,0.00026641175230007383,0.00021921105528334732,0.0003398502545181033,0.0016510772818562856,0.0020150786137571384,0.0017382279402356952,0.0028518190530280514,0.001771348730371278,0.00033263295374532807,0.002457055708104133,0.0017509200938602316,0.0017135295320851503,0.001907893418062296,0.0018208301431019908,0.0023849413661171676,0.0021819598731010323,0.0006709479001497384,0.0003904339821315124,0.0019178989832188847,0.0023527695645180267,0.0021256653022682344,0.0026026718125449397,0.0029774844455367926,0.00040056541284173315,0.0005121917539396974,0.0014494099444235015,0.0016035705479915416,0.0013882338064258488,0.001201424863643745,0.0003525155759289306,0.0004760566809499034,0.0016413908325805576,0.0014324420090117093,0.0012028954346929885,0.0013502497814745947,0.0004939889812038143,True,0
2,HL18_rt_21780_autored,97474,12003,12003,1,1,58,0.43603402340889724,8.215417999999996,0.28463,100.0,0,0,0,0,0.055895269124615336,0.02883466174977748,18.808918162616354,0.9695476575121164,"(16, 36, 18)","(-17, 0, 0)","(17, 36, 18)","(-17, -35, -18)",18,19689,"(15075, 9812, 7319, 6017, 3151, 160, 5)",7.5205(1),16.4308(2),7.96954(10),90,102.7392(10),90,960.54(2),4,1,20.341,1208.323,97416.0,0.56926,0.9911,0.0316,0.0251,0.059581436626900866,0.0021,"((-8.51, 6), (11.06, 4))","(0.01356, 2)","(0.01326, 2)","(0.03383, 6)","(0.03078, 9)","(0.04068, 14)","(0.01053, 4)","(0.0113, 4)","(0.0215, 3)","(0.0207, 3)","(0.0246, 3)","(0.0279, 3)","(0.0302, 5)","(0.0359, 4)","(0.029, 4)","(0.035, 5)","(0.03, 5)",5.3454212235925205,-2.869144903858939,0.3452559245305494,0.0021127909278664224,None,0.03163909285539758,0.02506182887500051,0.0019850975764102658,0.0015281430541841325,0.0014580913830282126,0.00023555722629431915,0.00030838175664832726,0.0024133291980196667,0.002469081340148927,0.001532064048177797,0.0014978231523090281,0.0002704276825544711,0.00022427648392651296,0.0003484374168622154,0.001688175239865985,0.002034347457734514,0.0017623983198962808,0.0028474086681743024,0.0018339214916489614,0.0003428690520854049,0.002515605955594381,0.001803715367753477,0.0017487407554786396,0.0019114875508742719,0.0018768019850170712,0.0024838815820511333,0.0022401955663085824,0.0006869273574099362,0.0004008567388753558,0.0019382531901861366,0.002441165540200032,0.002185312161560666,0.0026867013889917773,0.0030364390036779,0.00041157165267215716,0.0005258199018284721,0.0014854434246509426,0.0016112267835935738,0.0013995821852327782,0.0012162891927175483,0.00035858723083706246,0.0004825814056264108,0.0016808614627510689,0.0014589282929593766,0.0012377102038263824,0.001369317318219423,0.0005018957625499725,True,0
3,HL18_rt_21750_autored,97005,11940,11940,1,1,58,0.43674773572070974,8.215891499999998,0.28502,100.0,0,0,0,0,0.0577557825208205,0.028853861655532637,18.820680101291284,0.9688412852969815,"(16, 36, 18)","(-17, 0, 0)","(17, 36, 18)","(-17, -35, -18)",18,19627,"(15004, 9827, 7237, 5996, 3136, 155, 6)",7.52093(10),16.4318(2),7.96985(10),90,102.7395(10),90,960.69(2),4,1,20.338,1208.323,96947.0,0.57004,0.9889,0.0314,0.0251,0.0589230884869949,-0.0009,"((-8.14, 6), (10.46, 4))","(0.01355, 2)","(0.01309, 2)","(0.03364, 5)","(0.0307, 9)","(0.04021, 14)","(0.01037, 4)","(0.01115, 4)","(0.0213, 3)","(0.0205, 2)","(0.0245, 3)","(0.028, 3)","(0.0306, 5)","(0.0357, 4)","(0.029, 4)","(0.0348, 5)","(0.0293, 5)",2.9418041894842126,-4.441585737345641,0.35180936904266974,-0.0009338171009978835,None,0.03138311852229916,0.025069813676663215,0.001986313327822,0.0015363694554664355,0.0014549947869350237,0.0002327341502995198,0.0003099191814823608,0.002366374355326904,0.00241532760282093,0.0015530454063046246,0.0014621092276359182,0.0002671031712821901,0.00022348622755979705,0.000346966838705548,0.0016585993612852606,0.002053391932493035,0.0017748609020128395,0.002886756289020815,0.0018076006536595947,0.0003426094449422192,0.002511642856324814,0.0017969377712012526,0.0017128323277982589,0.0019132699318863487,0.0018444871644036171,0.002470305343379098,0.002242443709820081,0.0006861508156625185,0.00039572186098249746,0.001936842209125693,0.0024404212718292786,0.002173574369612474,0.0026751642679318077,0.0030007295946705864,0.00040587878533319787,0.0005198386219319183,0.0014834785365369547,0.0015749725879758139,0.001379356456734605,0.0012043280945231636,0.00035283541501126094,0.00047755884963184085,0.0016796775680278386,0.0014400338450438848,0.0012245912177700825,0.0013627257978162095,0.0004959850578071503,True,0
4,HL18_rt_21735_autored,96824,11910,11910,1,0,58,0.43673583366998403,8.21581,0.28522,100.0,0,0,0,0,0.053817959024131466,0.027175203704333094,19.91398334841569,0.9664854337417836,"(16, 36, 18)","(-17, 0, 0)","(17, 36, 18)","(-17, -35, -18)",18,19574,"(14952, 9808, 7228, 5964, 3155, 151, 5)",7.52039(10),16.4316(2),7.96926(10),90,102.741(1),90,960.53(2),4,1,20.341,1208.323,96766.0,0.57044,0.9885,0.0298,0.0238,0.05459246919791228,0.0004,"((-8.01, 5), (10.41, 4))","(0.01348, 2)","(0.01303, 2)","(0.0336, 5)","(0.03067, 8)","(0.04037, 13)","(0.01032, 3)","(0.01103, 4)","(0.0214, 2)","(0.0201, 2)","(0.0241, 3)","(0.0276, 3)","(0.031, 5)","(0.0362, 4)","(0.0289, 3)","(0.0347, 4)","(0.0299, 5)",2.780663195346829,-3.7964272998267963,0.3411609869025899,0.0003839270964073038,None,0.029757120013992326,0.023800201811457682,0.001893102246870767,0.0014522058569727834,0.0013716119776983795,0.00022180652399391871,0.0002915259622454732,0.0022381056083125715,0.002250589133712159,0.0014384830222356339,0.001380410906059832,0.00025340698611778554,0.0002115032991143946,0.000326565029178318,0.0015521111695804527,0.001964306538009355,0.0016422624872729503,0.0027483575481730724,0.0017051991754666342,0.0003211906763454578,0.0023595287079939747,0.0016876587004048046,0.0016278835412463174,0.001798765613768422,0.0017216915639472609,0.0023551521246445244,0.002077602804191094,0.0006405680002650502,0.00037547820327924966,0.0018063432275756061,0.0022929701010473828,0.0020415909990586342,0.0025028976874593455,0.0028846960044280785,0.00038318713105934345,0.0004904084857678316,0.0014024887200088485,0.0014811575926893883,0.0013325136880005578,0.0011313309225886613,0.0003355284781598569,0.00045490862894933864,0.0015529038122634759,0.0013437771999955178,0.0011548697618842952,0.0012616332686171512,0.00047101255823846336,True,0
5,HL18_rt_21100,86694,10886,10886,1,0,54,0.45019551941014313,8.215200499999998,0.2938,100.0,0,0,0,0,0.04612905934612942,0.02514340557088175,22.81506980515065,0.9672145713016437,"(16, 34, 17)","(-16, 0, 0)","(16, 34, 17)","(-16, -34, -17)",18,17681,"(13810, 9086, 6450, 5330, 2641, 136, 3)",7.52006(10),16.4304(2),7.96815(10),90,102.7363(10),90,960.30(2),4,1,20.346,1208.323,86640.0,0.5876,1.003,0.0271,0.0224,0.04895948829834312,-0.001,"((-8.54, 5), (10.85, 4))","(0.0131, 2)","(0.01269, 2)","(0.03303, 5)","(0.03019, 8)","(0.04001, 13)","(0.00991, 3)","(0.01054, 4)","(0.0203, 2)","(0.0196, 2)","(0.0243, 3)","(0.0272, 3)","(0.0305, 5)","(0.0353, 4)","(0.0282, 3)","(0.0338, 4)","(0.0292, 4)",3.1897737986385444,-4.127409534402446,0.31385855550732233,-0.0009859066326938725,None,0.02706367931990982,0.022375641733577197,0.001851502984719735,0.0014151846030409703,0.0013217713458746347,0.00022112270543780705,0.00028595677794694983,0.0022273834062323896,0.0022744854943714515,0.0014356928859815157,0.001368879073251054,0.0002505609263116029,0.00020744111153313366,0.0003259778441026623,0.00155020739335717,0.0019015168483698893,0.001623791534797042,0.002684215782444313,0.0016487762476405596,0.0003156044497022513,0.0022791279775089025,0.0016639793395960467,0.001620204733885115,0.0017911308735955875,0.0016865465616990368,0.002291613304092617,0.002043551181715432,0.0006371216747170539,0.00037171054694036933,0.0018124800125492056,0.0022257970097123757,0.0020094112112819516,0.0024291094582991487,0.002817310363125617,0.0003862953148193989,0.00048557465224273694,0.0013707417241052707,0.0014850873547699757,0.0012966204168090036,0.001113323069620074,0.00033232827759903556,0.0004516242874504853,0.0015737314660624578,0.001330804229779386,0.0011313770307410681,0.0012451589479095084,0.0004654362068972827,True,0
6,HL18_rt_20970_autored,86774,10717,10717,1,0,50,0.4526874191328503,8.2147775,0.29562,100.0,0,0,0,0,0.04706939519996196,0.023175690126532016,23.635257623292244,0.9675002256928771,"(16, 34, 17)","(-16, 0, 0)","(16, 34, 17)","(-16, -34, -17)",18,17627,"(13511, 8931, 6450, 5304, 2791, 142, 4)",7.52063(10),16.4296(2),7.96898(10),90,102.7358(10),90,960.43(2),4,1,20.344,1208.323,86724.0,0.59124,0.9961,0.0267,0.0227,0.05409723806015372,-0.0009,"((-11.08, 5), (12.12, 4))","(0.01377, 2)","(0.01318, 2)","(0.03369, 5)","(0.03083, 9)","(0.04049, 13)","(0.01054, 4)","(0.01121, 4)","(0.0216, 2)","(0.0207, 2)","(0.0246, 3)","(0.0274, 3)","(0.0304, 5)","(0.036, 4)","(0.0285, 3)","(0.0349, 4)","(0.0298, 5)",3.7953161207043498,-3.5709872095459603,0.2950565998432928,-0.0008929963809901526,None,0.026724976153891536,0.022682529986881087,0.001903855695329785,0.001457945364765841,0.0013590317429507492,0.0002234020639777073,0.00029286153141729325,0.0022645647425849898,0.0022922751105791017,0.001449697071508968,0.0014009728894336247,0.00025572665240763276,0.0002141057334876154,0.0003347321827914129,0.0015668593023360532,0.001971047547246592,0.0016434414425079331,0.0026976326938812855,0.0017428575089759423,0.00032474453553823287,0.0024014426981078425,0.0016793026199476931,0.0016476433711137624,0.0018047831888375456,0.0017766669946442644,0.0023556847159711875,0.0020806358001181032,0.0006602203625025154,0.00038111031324476307,0.0018424987603461666,0.0023035510984661723,0.0020469300919990535,0.0025520138957342343,0.0029062131569736267,0.0003906720838335359,0.0005010789624453154,0.0014210562282539869,0.0015061532338751446,0.001343451633231325,0.0011418579128361337,0.00033883173586937807,0.000460085973721145,0.001589430761727082,0.0013656055667945598,0.0011818017524552733,0.0012897886491421312,0.00047619675939122814,True,0
7,HL18_rt_20962_autored,86658,10701,10701,1,0,50,0.4532308182134188,8.214984499999998,0.295735,100.0,0,0,0,0,0.04782188377167399,0.023170435539512285,23.073081667282764,0.9696447988401595,"(16, 34, 17)","(-16, 0, 0)","(16, 34, 17)","(-16, -34, -17)",18,17586,"(13476, 8921, 6449, 5297, 2785, 142, 4)",7.52097(10),16.4300(2),7.96894(10),90,102.735(1),90,960.49(2),4,1,20.342,1208.323,86608.0,0.59147,1.0057,0.026,0.0219,0.051579507616351376,-0.0005,"((-13.52, 5), (10.16, 3))","(0.0136, 2)","(0.0132, 2)","(0.03373, 5)","(0.03073, 8)","(0.04045, 12)","(0.01051, 3)","(0.01118, 3)","(0.0216, 2)","(0.0204, 2)","(0.0249, 2)","(0.0274, 3)","(0.0313, 4)","(0.0359, 4)","(0.0289, 3)","(0.0343, 4)","(0.0299, 4)",2.3882527768516093,-3.3316520015651983,0.2687618487132875,-0.0005387158702735671,None,0.026003213823584125,0.021871888305920812,0.0017054633779407305,0.0012983675032912094,0.0012338297697932577,0.00020166093680828862,0.00026251118020256884,0.0020419991279426253,0.0020772461325933365,0.0012951709119250773,0.0012656712690805607,0.00023154220700302225,0.00019455688058517777,0.0003015337950429172,0.001418583857144349,0.0017617348009314434,0.0014810902979702375,0.0024608306556411406,0.0015590546829327137,0.0002917265858523107,0.0021033638552511663,0.0015061658046801136,0.0014862207915232058,0.0016336068169285518,0.001559073945634756,0.0020859754999068406,0.0018555994984071759,0.0005945445457555078,0.00034279485724580337,0.0016529608123595865,0.0020611277648863295,0.001819603033024205,0.0022355396008943724,0.00262324620609088,0.0003508536438939093,0.00044719143590062023,0.0012535554480638236,0.0013655600553145574,0.001209920071245241,0.0010269531735374424,0.00030465194503331714,0.0004145783543749969,0.0014242908397471242,0.001230135210247563,0.0010567313663675077,0.001164838190452376,0.0004285917607027676,True,0
8,HL18_rt_20930,84737,10626,10626,1,0,52,0.45410202296635704,8.214832499999998,0.296185,100.0,0,0,0,0,0.03983992767618952,0.021218056472910682,26.113424282191353,0.9688183807439825,"(16, 34, 17)","(-16, 0, 0)","(16, 34, 17)","(-16, -34, -17)",18,17287,"(13480, 8917, 6307, 5145, 2618, 134, 4)",7.52026(10),16.4297(2),7.96802(10),90,102.7361(10),90,960.27(2),4,1,20.347,1208.323,84685.0,0.59237,1.0057,0.0254,0.0215,0.05150260741607236,-0.0001,"((-10.53, 5), (8.21, 4))","(0.01312, 2)","(0.01271, 2)","(0.03321, 5)","(0.03039, 8)","(0.04009, 12)","(0.01005, 3)","(0.01075, 3)","(0.021, 2)","(0.02, 2)","(0.0239, 2)","(0.0269, 3)","(0.031, 4)","(0.0359, 4)","(0.029, 3)","(0.0344, 4)","(0.0298, 4)",4.783211296618346,-3.3710353081788864,0.269093183329879,-0.00014617467866078396,None,0.025429143351782243,0.02148488741978481,0.0017674257367951583,0.0013199753434717683,0.0012738867032163702,0.00020517497010942492,0.00027248505112759905,0.0021127455779580834,0.0021755989393043565,0.0013156562412128142,0.0012697726789741017,0.0002326240787512898,0.00019918730105560197,0.00031022122310037195,0.001432478952548652,0.0018155931417232877,0.001503242898662377,0.0025603750489613516,0.00158297161550336,0.0003020234822670972,0.0022137837843518604,0.0015932681456578242,0.001534757790303712,0.0017061478710911676,0.0016053366998585695,0.0021795367089181353,0.001919690154709566,0.0006108298428414011,0.0003519491436479629,0.0016767669108684678,0.0021606875978018403,0.0018766370239211166,0.0023552905034755194,0.0027020610124021097,0.0003597095547761139,0.0004629270500721587,0.0012836378411158768,0.0013623602380155718,0.0012086702575546536,0.0010454465306117143,0.00030808090672989274,0.0004178997580911577,0.0014396216979276324,0.001283140901618938,0.0010684902152648646,0.0011845684099286277,0.00043284607243968145,True,0
